,longueur,v_longueur,largeur,v_largeur,teinte,v_teinte,sucre,v_sucre,eau,v_eau,fibres,v_fibre
abricot30,7.94243469147254,0.5,5.740499678098682,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot31,7.0,0.5,5.0,0.6,14.68255202058089,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot32,6.656798282721359,0.5,4.496057622270271,0.6,12.745034850800398,2.0,-0.32345308826135444,5.0,69.62400554303372,5.0,2.2591206176114307,0.5
abricot33,6.947928591045187,0.5,5.332411324412556,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot34,7.0,0.5,5.0,0.6,16.372758422888435,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot35,7.729074452891026,0.5,4.358572107734977,0.6,14.505729812733003,2.0,9.49629095732756,5.0,84.34704717010216,5.0,1.7920361871769193,0.5
abricot36,7.8775205682341936,0.5,5.964513824581823,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot37,7.0,0.5,5.0,0.6,15.62562787044468,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot38,6.391287049098171,0.5,4.4521026213108215,0.6,12.989040555718008,2.0,8.438025445871716,5.0,88.41789817203887,5.0,2.5730637078108507,0.5
abricot39,7.117855933428512,0.5,4.926740494008545,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot40,7.0,0.5,5.0,0.6,17.18957744639361,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot41,6.258975055126223,0.5,5.375678343334287,0.6,15.64858612545845,2.0,4.09524247517788,5.0,91.8643088958337,5.0,1.8356434139588915,0.5
abricot42,6.892275055013656,0.5,5.493029978622053,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot43,7.0,0.5,5.0,0.6,12.887911951628013,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot44,5.9804389549647725,0.5,4.922627992329594,0.6,15.211920304012251,2.0,4.490407684871816,5.0,81.83640673140864,5.0,0.970619697585661,0.5
abricot45,7.703588425499103,0.5,5.0548681077899085,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot46,7.0,0.5,5.0,0.6,16.101999336249136,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot47,6.954957447061953,0.5,5.10518161484833,0.6,14.829014431544596,2.0,7.82260069026287,5.0,83.01666005076002,5.0,1.5540813385746448,0.5
abricot48,7.680913435997122,0.5,4.7324545338844715,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot49,7.0,0.5,5.0,0.6,15.819371240132792,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot50,6.252359723149185,0.5,4.925975929337148,0.6,16.956320699424346,2.0,7.641288842242875,5.0,94.76142125332026,5.0,2.143959520885548,0.5
abricot51,5.963851452969944,0.5,5.154574663352384,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot52,7.0,0.5,5.0,0.6,11.430196321899025,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot53,7.171705317717226,0.5,5.437272265331123,0.6,15.770655618001827,2.0,6.090314268738737,5.0,75.69261817758853,5.0,1.8040903227674123,0.5
abricot54,6.5136306507407795,0.5,5.532133281072476,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot55,7.0,0.5,5.0,0.6,16.446887370381795,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot56,7.111444753639351,0.5,4.746064421229147,0.6,12.77106671975458,2.0,4.073280066485182,5.0,78.32929359410157,5.0,2.854033138709675,0.5
abricot57,6.506511612652897,0.5,4.736740417077775,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot58,7.0,0.5,5.0,0.6,18.61766363720625,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot59,7.112256378403668,0.5,4.641401217123329,0.6,14.993125259836216,2.0,3.6135228563933657,5.0,89.0669918775034,5.0,2.4666454052467772,0.5
abricot60,6.8968368243306095,0.5,5.023066234208225,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot61,7.0,0.5,5.0,0.6,17.954416085357582,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot62,7.3129344859025425,0.5,5.561715958944876,0.6,16.382008491352703,2.0,3.2396789083477833,5.0,95.57891567030737,5.0,1.1051479376987854,0.5
abricot63,6.472107551387594,0.5,5.038884003609646,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot64,7.0,0.5,5.0,0.6,15.199810900501113,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot65,7.240079517809348,0.5,3.976960253033285,0.6,13.433318753773184,2.0,11.075505584428253,5.0,100.02655254950153,5.0,2.1159405096749726,0.5
abricot66,7.0407055358578035,0.5,4.933002964249368,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot67,7.0,0.5,5.0,0.6,9.974806451576402,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot68,7.914826759327679,0.5,4.521128161407079,0.6,14.632810444990113,2.0,10.1810440331002,5.0,89.00867116205193,5.0,1.0898341250571626,0.5
abricot69,6.416278143834024,0.5,4.542323688168409,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot70,7.0,0.5,5.0,0.6,13.47892198456045,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot71,7.147283411868408,0.5,4.799809796129952,0.6,11.768603592401394,2.0,1.62928837532856,5.0,79.85599674849817,5.0,1.8257718037958635,0.5
abricot72,7.707874780605537,0.5,4.668989916151338,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot73,7.0,0.5,5.0,0.6,13.697797938344209,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot74,7.328735381158178,0.5,4.887672952001002,0.6,17.279549990404437,2.0,-4.61619647132963,5.0,84.06447903010228,5.0,1.6796134046432967,0.5
abricot75,7.744345238237452,0.5,5.666218244459485,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot76,7.0,0.5,5.0,0.6,15.6632241755088,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot77,6.876031801411273,0.5,4.526009186894495,0.6,15.203144983429036,2.0,5.9742813157530525,5.0,84.82148564526285,5.0,1.5613902753857956,0.5
abricot78,6.884218777332015,0.5,5.416480309962414,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot79,7.0,0.5,5.0,0.6,14.413765243596238,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot80,7.451864361807042,0.5,4.582829651670756,0.6,14.727170729354771,2.0,9.210208128124117,5.0,82.9908198965968,5.0,1.627049904813814,0.5
abricot81,6.427218055540152,0.5,4.898615558231867,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot82,7.0,0.5,5.0,0.6,16.73252395147634,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot83,7.160967703233469,0.5,4.83945218638023,0.6,15.522783866003085,2.0,5.9831157993619,5.0,90.99635609288461,5.0,1.9870559175361981,0.5
abricot84,7.831594529177,0.5,5.541583607974967,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot85,7.0,0.5,5.0,0.6,12.986945876061133,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot86,6.923684557787978,0.5,4.987427550891012,0.6,12.487880652573494,2.0,0.5084127839261932,5.0,84.44371491265922,5.0,1.5931529995666953,0.5
abricot87,7.761975952258712,0.5,5.031683825929989,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot88,7.0,0.5,5.0,0.6,16.74437468975447,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot89,6.873126504877265,0.5,4.416839485748427,0.6,10.85227500585654,2.0,16.583690122058677,5.0,87.90066009610497,5.0,1.4424075763929947,0.5
abricot90,7.942084475319446,0.5,4.8175517837551,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot91,7.0,0.5,5.0,0.6,15.66040266954687,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot92,5.695496086474813,0.5,4.8910210262711065,0.6,15.668996875648977,2.0,5.185300173091922,5.0,82.71364536597865,5.0,0.87964549716436,0.5
abricot93,7.146256142729994,0.5,4.712672491213257,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot94,7.0,0.5,5.0,0.6,17.3239749866392,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot95,7.9886105159015175,0.5,4.831382354552495,0.6,14.472055837863799,2.0,10.354600044854582,5.0,93.95393915471858,5.0,2.4062047976244543,0.5
abricot96,7.7436503434652275,0.5,5.592076033020382,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot97,7.0,0.5,5.0,0.6,16.233888116274578,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot98,6.502395154161135,0.5,4.976039550978382,0.6,14.009564023294526,2.0,7.562469059518003,5.0,81.53533917555819,5.0,1.5498791527633313,0.5
abricot99,6.701952186681509,0.5,4.222996582521058,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot100,7.0,0.5,5.0,0.6,10.76538475624998,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot101,7.846579235230932,0.5,5.273404789968869,0.6,13.826526041474462,2.0,0.710685583955609,5.0,90.556625436398,5.0,2.1344451629511076,0.5
abricot102,6.952404086604703,0.5,4.272776472403754,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot103,7.0,0.5,5.0,0.6,13.726206407898639,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot104,7.646979930452977,0.5,4.953343796488988,0.6,12.746479603442078,2.0,8.942198655665363,5.0,82.47292132749715,5.0,1.9004475835016124,0.5
abricot105,6.663370214738814,0.5,5.500606059308155,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot106,7.0,0.5,5.0,0.6,16.88940853059377,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot107,7.989280116001476,0.5,4.628438298590715,0.6,16.00491524384503,2.0,4.4003118065964415,5.0,81.5748461400218,5.0,2.568938451300725,0.5
abricot108,6.534183597071181,0.5,4.8904404370430195,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot109,7.0,0.5,5.0,0.6,16.283822307677305,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot110,6.873807579723544,0.5,5.4219551533393116,0.6,14.95482140703115,2.0,8.263412873573172,5.0,82.07686518713285,5.0,2.0428945315425993,0.5
abricot111,7.47125896429564,0.5,5.214427912516339,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot112,7.0,0.5,5.0,0.6,14.910292526283948,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot113,6.883480172393128,0.5,5.2760465875064755,0.6,10.310715245666913,2.0,14.508752902498141,5.0,79.85961398268172,5.0,1.6655827437937878,0.5
abricot114,7.966179528350457,0.5,4.861347578908732,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot115,7.0,0.5,5.0,0.6,14.038850739871101,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot116,6.520581602124846,0.5,4.380763865214936,0.6,17.949162092264096,2.0,-0.5191634250106274,5.0,89.37246171371953,5.0,1.2749690451047755,0.5
abricot117,7.082238510225377,0.5,5.062450531827724,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot118,7.0,0.5,5.0,0.6,14.850044821942005,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot119,7.359732178773247,0.5,4.931929738195431,0.6,14.483392319073205,2.0,3.9157387665604295,5.0,93.26662648945353,5.0,1.826391441706174,0.5
abricot120,6.629970406538131,0.5,5.314801787549923,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot121,7.0,0.5,5.0,0.6,17.23730983721699,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot122,6.7800861191592645,0.5,4.931024500319403,0.6,10.852488729931977,2.0,-1.0082044429715182,5.0,87.09720631869271,5.0,1.5945144524551584,0.5
abricot123,6.939660400789752,0.5,6.130253660312188,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot124,7.0,0.5,5.0,0.6,16.877922962464748,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot125,7.298574908526959,0.5,5.044221450919492,0.6,15.929466108426386,2.0,4.90507189472061,5.0,84.54404646579079,5.0,1.9921627355436644,0.5
abricot126,6.49970584175086,0.5,5.145240461848848,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot127,7.0,0.5,5.0,0.6,13.447787110640991,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot128,6.283529322460971,0.5,4.455560175720741,0.6,14.471528107731178,2.0,6.562797183869121,5.0,84.75224236670013,5.0,1.9130786625037859,0.5
abricot129,7.167318246636124,0.5,5.109107121640067,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot130,7.0,0.5,5.0,0.6,18.4880989728255,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot131,6.174186889406646,0.5,5.342477695848706,0.6,17.358697968025798,2.0,10.168954481565375,5.0,82.9958470556374,5.0,1.31139320488137,0.5
abricot132,6.926095398276475,0.5,3.996324727596082,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot133,7.0,0.5,5.0,0.6,14.973341355420004,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot134,7.259718576255979,0.5,5.079586583328119,0.6,15.36615150746994,2.0,0.8614181237726974,5.0,83.4552089689621,5.0,1.872904340076162,0.5
abricot135,7.392976912804622,0.5,4.5009923608063245,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot136,7.0,0.5,5.0,0.6,16.418985413948032,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot137,6.938780768908261,0.5,5.103332869784373,0.6,18.16403271887844,2.0,5.982198632421166,5.0,76.54579866250486,5.0,1.2644125308806684,0.5
abricot138,6.9503208646390435,0.5,5.204932662427893,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot139,7.0,0.5,5.0,0.6,12.441024454947819,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot140,7.101078134319699,0.5,4.896693664880377,0.6,14.059254298493531,2.0,9.860508132160486,5.0,85.3362390432229,5.0,1.0690321620962182,0.5
abricot141,5.895869412556829,0.5,5.7264224798185985,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot142,7.0,0.5,5.0,0.6,13.320386485467136,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot143,7.0521470149080985,0.5,5.450261074315053,0.6,15.944651871730274,2.0,5.411125617844436,5.0,80.07417002803139,5.0,2.2933277712073465,0.5
abricot144,6.843654970250063,0.5,4.73533029077949,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot145,7.0,0.5,5.0,0.6,14.010042790924407,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot146,7.4335186784430585,0.5,4.951680750343543,0.6,13.925808090203846,2.0,8.67259526536437,5.0,82.03827883539088,5.0,1.9687862046011975,0.5
abricot147,6.856855856758772,0.5,5.05807823820315,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot148,7.0,0.5,5.0,0.6,15.011301946894816,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot149,7.443362321087854,0.5,5.763550542026493,0.6,14.672589201233077,2.0,9.139958760193693,5.0,84.42177745739137,5.0,1.3210302967207512,0.5
abricot150,7.90946699550892,0.5,5.431597552360104,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot151,7.0,0.5,5.0,0.6,12.301336685458255,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot152,6.831009893674618,0.5,4.786783067698194,0.6,15.174899972385894,2.0,7.829618142735614,5.0,93.77031415936591,5.0,2.0210158786725314,0.5
abricot153,6.912168497299134,0.5,4.462200115651539,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot154,7.0,0.5,5.0,0.6,16.13653760139805,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot155,6.0047650202899865,0.5,4.9084247897297155,0.6,10.960969613444568,2.0,1.5408741654048086,5.0,91.00059238823673,5.0,1.9991324609390981,0.5
abricot156,7.46192635551518,0.5,4.955278903740419,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot157,7.0,0.5,5.0,0.6,16.082351342628602,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot158,7.941100648089738,0.5,4.9629015993417385,0.6,14.180592274499373,2.0,5.351398327047885,5.0,93.21448513361847,5.0,1.8457580755329757,0.5
abricot159,7.390154887940657,0.5,4.321380398112381,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot160,7.0,0.5,5.0,0.6,15.990016853507868,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot161,6.953372396040426,0.5,5.132786626437141,0.6,14.965596460728918,2.0,10.100111887041383,5.0,93.91385908310079,5.0,2.4981003926289143,0.5
abricot162,6.54856163292506,0.5,5.115093266680676,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot163,7.0,0.5,5.0,0.6,17.059075552734928,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot164,7.073670234706098,0.5,4.144077305611761,0.6,17.72083740446972,2.0,10.886881787911099,5.0,94.49467188471014,5.0,0.6981925479860001,0.5
abricot165,7.957668667922567,0.5,5.153174455622753,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot166,7.0,0.5,5.0,0.6,14.99775990522811,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot167,6.845985170208133,0.5,4.853386279208301,0.6,14.837145572640056,2.0,10.294405297719866,5.0,87.90309057048195,5.0,2.6176817485351926,0.5
abricot168,7.100026980100885,0.5,5.189086443091352,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot169,7.0,0.5,5.0,0.6,15.284920401469433,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot170,7.336729917051319,0.5,4.977692239399554,0.6,18.723027293385226,2.0,3.335747192403944,5.0,86.97131314413598,5.0,1.210073733863338,0.5
abricot171,7.581377024228927,0.5,4.710597340526109,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot172,7.0,0.5,5.0,0.6,14.884151303927196,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot173,6.480767914420745,0.5,5.264972215448162,0.6,16.339543642381607,2.0,8.523876992112019,5.0,95.71002982140921,5.0,1.7573963595236242,0.5
abricot174,7.412352790436618,0.5,5.148604482133578,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot175,7.0,0.5,5.0,0.6,14.806256765990254,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot176,6.415632789639277,0.5,5.232431411134181,0.6,16.33757336665718,2.0,-2.751555040199751,5.0,90.57886435902014,5.0,1.0763238718978072,0.5
abricot177,7.587713650446809,0.5,5.066002898969388,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot178,7.0,0.5,5.0,0.6,13.282454474738236,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot179,6.931352309007319,0.5,3.993008331122315,0.6,14.0985061729897,2.0,1.2263605687319918,5.0,92.87580156727925,5.0,1.1823656089904147,0.5
abricot180,5.79506480960828,0.5,5.220833531162176,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot181,7.0,0.5,5.0,0.6,12.339989276066042,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot182,7.518567843854851,0.5,4.970995042143698,0.6,17.70568433071052,2.0,9.18212419918494,5.0,92.26900765917127,5.0,2.190130488879991,0.5
abricot183,6.422036281193965,0.5,5.442107964587149,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot184,7.0,0.5,5.0,0.6,12.718706570026871,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot185,7.004799624764015,0.5,5.594609734427867,0.6,16.98424603434863,2.0,-5.950072579385443,5.0,88.56192536911438,5.0,2.715985103545849,0.5
abricot186,7.069582976757671,0.5,5.04726109581715,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot187,7.0,0.5,5.0,0.6,13.044338571603683,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot188,7.34626484137033,0.5,5.160390765241666,0.6,14.8275349808658,2.0,3.2433250636972755,5.0,95.66591510843222,5.0,2.102792836609154,0.5
abricot189,6.788465803626061,0.5,4.540094139792641,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot190,7.0,0.5,5.0,0.6,14.257052660456344,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot191,7.5113653847246935,0.5,5.230176810808113,0.6,14.768200979069821,2.0,10.160132968572732,5.0,82.1423231056833,5.0,2.4269846956147707,0.5
abricot192,7.5164062241808685,0.5,4.226639149526175,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot193,7.0,0.5,5.0,0.6,11.538044074897625,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot194,6.847527358235892,0.5,4.720281237326041,0.6,16.565342800202217,2.0,12.728265603939597,5.0,84.39091721300251,5.0,1.9308068191761227,0.5
abricot195,6.712133578201067,0.5,5.431137602735236,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot196,7.0,0.5,5.0,0.6,12.27624711806936,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot197,6.996327686071382,0.5,4.4348260529502985,0.6,12.86820571452132,2.0,-2.429091147739026,5.0,80.8667981037101,5.0,1.1730894761409099,0.5
abricot198,7.355874581243253,0.5,5.214203189336221,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot199,7.0,0.5,5.0,0.6,18.90350697479288,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot200,7.957627726470113,0.5,4.45152188902799,0.6,18.737165919231792,2.0,9.70843645638597,5.0,87.50333521678093,5.0,2.1288859561875224,0.5
abricot201,6.309351829719433,0.5,5.591507528045287,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot202,7.0,0.5,5.0,0.6,15.7801185905017,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot203,7.113497771885213,0.5,4.89522465418785,0.6,14.748430699641931,2.0,6.820375439160347,5.0,80.01173794922532,5.0,1.5441874381960674,0.5
