StarSpctr;OtherPlanets;Position;SemiMajorAxis;OrbitalExc;OrbitalInc;OrbitalPeriod;AxisIncl;Moons;Diameter;Density;Magnetosphere;AtmPressure;Albedo;DayPeriod;Tmin;Tmax;PH2O;PHe;PCH4;PH2;PN2;PO2;PAr;PCO2;PSO2;PK;Type
4;3;5;5.0906;0.0323;2.129;11237.73;21.26;3;11323;2.61;40.09;0.75;0.21;0.889;-73;19;0.4;0;0;0;75.3;23;1.2;0.1;0;0;t
4;3;7;7.3301;0.042;1.413;17764.86;2.8;2;14990;5.01;92.43;1.02;0.32;1.624;-32;43;1.1;0;0;0;0.8;0;1.2;96.9;0;0;d
4;3;6;6.5074;0.036;1.502;59607.13;6.56;0;3500;7.24;11;0.04;0.5;1.399;-149;25;0;0;0;0;0;0.02;0;0;0;0.02;r
3;0;9;9.9977;0.0632;1.339;144750.09;35.82;0;3500;6.84;5;0.04;0.6;1.56;-185;182;0;0;0;0;0;0.02;0;0;0;0;r
5;1;6;5.6712;0.0075;0.102;5502.74;33.11;3;27937;3.94;139.95;4.21;0.37;0.574;-212;502;0.1;11.4;1.7;84.3;0;0;0;0;2.5;0;g
9;10;9;6.6089;0.0855;1.521;64769.8;1.88;2;3500;7.53;9;0.01;0.5;0.224;-199;96;0;0;0;0;0;0.02;0;0;0;0.01;r
5;6;7;7.022;0.0002;0.244;1469.89;60.94;5;159315;0.87;194.05;0.59;0.44;0.972;-220;-187;0.2;5.1;0.1;94.6;0;0;0;0;0;0;g
2;2;9;11.3054;0.0073;0.005;10956.03;31.41;7;55800;2.12;163.92;1.52;0.44;0.5;-180;-32;0.2;18.8;0.6;80.4;0;0;0;0;0;0;g
5;0;4;4.0646;0.007;2.128;5595.6;38.56;5;14118;7.2;136.48;1.69;0.27;1.561;-81;-11;0;1;0;29.8;46.2;5.2;9.1;8.7;0;0;i
6;3;2;1.9276;0.0037;2.265;3532.96;7.5;0;5001;6.49;37.68;0.16;0.15;0.524;-211;-151;0;0;0;0;0.2;0.6;0.3;98.9;0;0;d
1;3;2;2.6721;0.0055;2.545;2270.13;24.43;3;15017;5.03;82.4;0.96;0.39;0.39;-161;-82;0;0;0;0;0.5;0;0;99.5;0;0;d
4;0;10;10.192;0.0403;0.001;6001.09;3.64;1;85642;3.33;374.82;5.05;0.36;1.193;-150;3;0.1;5;0.5;94;0;0;0;0;0.4;0;g
7;6;6;4.6047;0.0314;1.326;29674.76;34.89;0;3500;3.03;11;0.05;0.56;0.583;-211;20;0;0;0;0;0;0;0;0;0;0;r
7;4;4;3.4208;0.0074;0.716;544.02;11;4;106417;1.23;179.51;0.87;0.37;1.837;-155;-65;0.3;16.6;1.6;81.5;0;0;0;0;0;0;g
5;3;10;10.6499;0.0948;1.309;169997.57;72.4;0;3500;7.37;2;0.08;0.65;0.231;-158;238;0;0;0;0;0;0.01;0;0;0;0;r
9;0;8;5.85;0.0409;0.192;2914.92;75.92;4;58124;2.7;224.19;2.81;0.42;1.448;-189;-26;0;17;1.3;81.7;0;0;0;0;0;0;g
7;4;10;8.456;0.0994;1.229;107706.86;64.46;0;3500;4.81;11;0.06;0.35;1.562;-211;152;0;0;0;0;0;0;0;0;0;0.01;r
5;6;9;8.9056;0.0266;0.02;110535.19;54.26;0;3500;7.23;5;0.05;0.57;1.482;-234;-33;0;0;0;0;0;0;0;0;0;0;r
6;6;5;4.6997;0.0092;1.113;7072.76;4.12;4;14970;7.5;149.18;1.78;0.27;1.43;-151;-114;0;2.6;0;0.4;56.6;34.6;3.6;2.2;0;0;i
3;0;1;1.2097;0.0012;4.35;370.26;3.37;5;18789;7.48;196.56;3.31;0.41;403.213;-206;-147;0;2.7;0;15.2;53;19.8;1.5;7.8;0;0;i
6;8;7;6.186;0.0075;1.399;4745.2;5.63;8;38662;1.62;81.42;1.81;0.45;1.283;-215;-128;0.2;14;0.8;85;0;0;0;0;0;0;g
1;6;8;10.808;0.0189;1.787;161526.18;24.38;0;3500;4.47;2;0.1;0.64;1.527;-245;13;0;0;0;0;0;0;0;0;0;0.01;r
5;2;2;2.0405;0.0005;1.574;120.37;40.55;2;162970;0.52;111.38;0.34;0.4;117.24;-184;-108;0.1;12.8;1.4;85.7;0;0;0;0;0;0;g
6;0;5;4.6695;0.0121;1.335;6974.11;37.01;4;15027;4.99;93.34;1.08;0.44;1.344;-187;-64;0;0;0;0;0.4;0;0;99.6;0;0;d
7;9;8;6.6005;0.0077;0.883;13934.25;31.94;0;14961;5;91.02;1.09;0.2;1.863;-216;-55;0;0;0;0;0.5;1.2;1;97.3;0;0;d
4;2;4;4.6462;0.0046;0.008;7328.18;18.6;2;14050;3.79;73.73;1.16;0.4;1.995;-17;26;0.9;0;0;0;58.4;40;0.6;0.1;0;0;t
3;0;6;6.8559;0.0387;1.603;48127.83;40.96;0;4824;7.44;16;0.09;0.42;0.694;-165;35;0;0;0;0;0;0;0;0;0;0.02;r
8;7;7;5.0735;0.0299;0.026;2824.51;29.36;1;45020;3.33;203.46;2.61;0.45;0.673;-189;168;0;5.9;0.8;91.1;0;0;0;0;2.2;0;g
8;0;8;5.9986;0.0433;0.154;5759.49;15.97;7;31008;3.17;105.32;2.33;0.4;0.953;-165;53;0;7.5;0.5;89.2;0;0;0;0;2.8;0;g
5;0;1;0.9543;0.001;1.1;1236.72;26.6;0;3500;3.01;6;0.01;0.4;1053.685;-224;-80;0;0;0;0;0;0;0;0;0;0;r
7;4;2;1.6841;0.0017;2.485;942.77;7.19;3;14324;5.72;108.86;1.2;0.31;0.702;-132;-76;0;1.4;0;34.2;46.7;0.8;10;6.9;0;0;i
4;2;10;10.2831;0.1033;0.07;159990.29;46.78;2;3500;3.39;3;0.08;0.22;2.632;-237;-17;0;0;0;0;0;0;0;0;0;0;r
3;0;6;6.9851;0.0225;1.582;3839.17;39.8;8;61734;2.14;181.18;1.6;0.41;1.05;-215;-41;0.3;7.2;1.3;91.2;0;0;0;0;0;0;g
2;3;7;9.2548;0.023;2.51;79544.73;21.65;0;5233;7.97;53.08;0.23;0.37;1.293;-116;-73;0;0.62;0;6.58;79.52;6.4;0.18;6.7;0;0;i
6;5;4;3.6838;0.0164;2.513;13089.9;32.3;1;5005;5;26.6;0.1;0.16;1.852;-171;-144;0;0;0;0;3;0;0;97;0;0;d
7;2;8;6.4734;0.0273;2.498;14323.89;17.11;0;14281;9.93;188.42;2.36;0.43;0.868;-223;-206;0;0.9;0;10.5;46;24.5;2.7;15.4;0;0;i
10;0;3;1.6528;0.0033;0.273;84.28;19.86;1;154412;2.5;496.32;2.73;0.36;0.523;-159;47;0.3;7.6;1;89.2;0;0;0;0;1.9;0;g
3;0;4;4.3303;0.0046;2.42;4085.7;20;4;21893;7.63;231.29;4.07;0.41;0.797;-222;-204;0;2.6;0;31.2;42.6;3.8;2.9;16.9;0;0;i
5;0;9;8.8049;0.0378;1.265;72361.53;68;2;5287;5.85;4;0.04;0.27;1.676;-160;96;0;0;0;0;0;0.01;0;0;0;0.01;r
8;8;5;3.8651;0.0311;4.51;4863.22;29.29;2;15054;5;82.11;1.08;0.47;1.331;-120;101;1.1;0;0;0;1.6;0;1.5;95.8;0;0;d
8;8;3;2.5232;0.0046;1.573;582.24;13.94;1;56008;3.8;297.96;3.49;0.34;0.593;-153;-11;0.1;11.6;0.8;87.5;0;0;0;0;0;0;g
2;3;7;9.4191;0.0001;0.015;73588.12;4.25;0;5724;7.48;46.11;0.2;0.19;0.279;-152;-136;0;0;0;0;4.2;0;0.34;95.46;0;0;d
4;3;6;6.8073;0.032;1.288;59623.67;62.66;0;3812;7.21;3;0.01;0.14;0.818;-204;65;0;0;0;0;0;0;0;0;0;0.01;r
4;3;8;8.5269;0.0294;2.955;23433.7;22.84;4;15180;4.75;76.64;0.96;0.28;1.398;-214;-165;0;0;0;0;3.1;0.1;0;96.8;0;0;d
8;7;2;1.5455;0.0017;2.998;708.64;35.13;1;16667;4.83;95.7;1.38;0.17;689.507;-61;17;0.4;0;0;0;4.1;0.8;0;94.7;0;0;d
2;1;5;6.4458;0.0282;0.183;11897.87;41.8;0;17061;4.99;94.06;1.23;0.17;1.344;-127;61;2.1;0;0;0;3.6;0.3;0;94;0;0;d
5;0;2;2.114;0.0025;0.149;565.08;24.01;4;37646;2.96;156.01;2.85;0.36;599.55;-127;-2;0.1;6.2;1.6;92.1;0;0;0;0;0;0;g
4;3;9;9.0984;0.0132;2.445;26513.16;38.18;5;15023;7.07;148.55;1.92;0.39;1.216;-79;-54;0;1.3;0;34;53.2;1;4.5;6;0;0;i
2;0;4;5.1075;0.0074;0.86;1725.8;16.86;6;72308;2.43;238.46;2.46;0.35;0.535;-197;37;0.3;15.5;1.8;82.2;0;0;0;0;0.2;0;g
4;1;9;10.1662;0.0193;0.537;5450.22;17.51;7;91846;1.25;155.81;1.05;0.44;1.802;-161;-106;0.2;12.1;0.6;87.1;0;0;0;0;0;0;g
5;1;4;4.1361;0.0133;1.117;22912.54;5.24;2;3593;5.4;6;0.07;0.42;0.715;-191;23;0;0;0;0;0;0.02;0;0;0;0;r
8;5;10;7.0151;0.1443;2.503;50716.23;0.56;0;5387;7.23;51.75;0.2;0.27;0.8;-212;-183;0;0.3;0;4.56;67.16;12.2;1.38;14.4;0;0;i
8;6;5;4.256;0.0256;1.304;18972.96;28.09;2;4653;6.59;14;0.09;0.2;0.966;-162;62;0;0;0;0;0;0.01;0;0;0;0.01;r
10;4;5;3.2828;0.0122;0.048;14378.73;43.17;0;3606;3.6;9;0.04;0.54;1.584;-168;121;0;0;0;0;0;0.01;0;0;0;0.01;r
1;1;5;6.4665;0.0254;0.114;56293.36;47.64;0;3619;4.85;1;0;0.28;1.746;-119;207;0;0;0;0;0;0.01;0;0;0;0.02;r
1;4;3;3.7798;0.0077;2.08;2975.77;29.79;4;22912;7.49;230.41;3.83;0.32;1.462;-46;0;0;2.3;0;11.8;38.6;23.2;5.1;19;0;0;i
6;6;6;5.4113;0.0355;2.478;37373.32;2.4;0;3857;3.77;9;0.03;0.3;1.971;-187;-15;0;0;0;0;0;0.01;0;0;0;0;r
4;2;8;8.7414;0.0886;2.503;26607.06;0.91;3;14962;6.69;116.2;1.4;0.3;0.539;-52;91;1.5;0;0;0;0.6;0;0;97.9;0;0;d
5;6;5;4.7544;0.0142;1.266;31126.72;13.56;0;3500;7.76;1;0.01;0.25;0.5;-81;210;0;0;0;0;0;0;0;0;0;0.02;r
5;5;10;10.3146;0.1575;1.397;155744.71;39.67;1;3850;5.07;10;0.07;0.65;1.305;-239;135;0;0;0;0;0;0;0;0;0;0;r
10;0;6;3.9402;0.0343;1.316;13343.08;43.2;0;5721;4.62;18;0.03;0.52;1.515;-209;-44;0;0;0;0;0;0;0;0;0;0;r
1;3;7;9.4561;0.0696;4.955;30369.92;36.88;2;15029;6.51;135.47;1.82;0.42;0.732;-85;-45;0;2.2;0;28.1;40.5;6.9;7.3;15;0;0;i
4;3;4;4.1311;0.006;0.011;4821.55;24.33;4;16908;4;94.59;1.6;0.44;1.187;-10;29;0.8;0;0;0;71.8;23;2.8;1.6;0;0;t
10;7;7;5.2137;0.034;2.458;8603.43;30.35;4;15532;6.6;143.37;1.82;0.44;0.394;-42;5;0;2.1;0;13.3;54.9;21.7;2.2;5.8;0;0;i
5;2;3;2.9468;0.0112;0.083;3991.87;36.93;3;10446;7.5;108.48;0.82;0.43;1.435;-112;-49;0;1.23;0;2.13;60.63;32.4;0.41;3.2;0;0;i
5;4;6;5.6729;0.0246;4.363;10031.94;30.25;2;15610;7.5;152.28;1.73;0.27;1.167;-205;-158;0;1.4;0;16.1;49.8;18.9;7.3;6.5;0;0;i
5;0;8;8.0642;0.0455;1.985;17595.15;0.09;5;18386;2.17;52.44;1.38;0.4;0.977;-166;-57;0.3;4;1.2;94.5;0;0;0;0;0;0;g
6;3;2;1.742;0.0018;0.694;205.6;17.44;6;70208;3.87;372.62;5.61;0.34;0.581;-156;279;0.3;9.7;1.8;87.3;0;0;0;0;0.9;0;g
10;8;8;3.2253;0.082;2.485;5941.21;25.21;3;9023;7.5;85.18;0.69;0.32;0.529;-250;-215;0;1.93;0;3.8;46.94;29.5;4.83;13;0;0;i
7;9;5;3.8702;0.0309;2.51;5108.66;24.68;1;14479;9.98;196.04;2.39;0.27;0.754;-53;5;0;0.7;0;23.2;58.1;11.8;6.1;0.1;0;0;i
9;10;9;6.8897;0.089;1.189;47029.03;4.1;0;5261;5.35;3;0.05;0.56;0.922;-148;84;0;0;0;0;0;0;0;0;0;0.01;r
5;3;8;8.3688;0.0287;2.495;14938.89;13.23;1;22914;4.99;140.73;2.46;0.31;1.595;-130;10;0.6;0;0;0;1.2;0.4;0;97.8;0;0;d
5;3;3;3.0134;0.0074;4.573;2114.02;40.15;3;20616;7.73;220.65;3.76;0.36;1.52;-10;5;0;1.7;0;13.6;46;21.4;7.8;9.5;0;0;i
6;3;2;1.8729;0.0007;1.249;4762.1;24.48;0;3500;6.67;9;0.05;0.17;4657.334;-207;17;0;0;0;0;0;0;0;0;0;0;r
5;3;1;0.9981;0.0002;3.328;429.63;31.11;0;11038;3.82;50.13;0.48;0.18;2.4;-43;37;2.5;0;0;0;1.2;0;0;96.3;0;0;d
4;0;10;10.5201;0.094;0.038;165720.82;48.08;0;3500;5.97;9;0.1;0.44;1.065;-168;151;0;0;0;0;0;0;0;0;0;0;r
7;5;2;1.6727;0.0039;0.213;3815.65;1.22;1;3500;7.19;7;0.08;0.44;3800.387;-127;83;0;0;0;0;0;0;0;0;0;0.01;r
8;0;8;6.0818;0.0595;2.52;8716.43;33.53;1;21424;2.09;48.22;0.84;0.31;4.589;-152;-107;0;0;0;0;0.2;1.3;0;98.5;0;0;d
5;0;9;9.7423;0.0173;1.138;131029.04;12.13;0;3500;5.18;6;0.09;0.06;1.053;-236;-28;0;0;0;0;0;0;0;0;0;0;r
2;1;4;5.0029;0.0113;0.021;5079.41;36.53;8;23646;3.48;102.27;4.29;0.39;0.65;-183;328;0;5.1;0.8;91;0;0;0;0;3.1;0;g
4;3;5;5.111;0.0358;2.5;5391.35;44.92;1;23896;7.5;238.12;4.15;0.36;1.255;-123;-93;0;3;0;4.9;46.6;30.1;7.2;8.2;0;0;i
3;0;9;10.9617;0.0809;1.358;177361.19;56.82;2;3500;5.43;1;0.08;0.47;1.926;-122;146;0;0;0;0;0;0.01;0;0;0;0.01;r
6;4;6;5.4711;0.0328;1.094;41988.42;11.33;0;3500;3.86;6;0.04;0.62;1.347;-239;76;0;0;0;0;0;0;0;0;0;0;r
3;0;8;9.601;0.0336;0.003;11435.62;31.34;2;39605;0.51;25.97;0.48;0.42;4.271;-194;-144;0.2;5.1;1;93.7;0;0;0;0;0;0;g
7;7;7;6.2536;0.0191;0.078;2544.61;62.16;2;74896;3.45;332.22;4.6;0.33;0.961;-194;35;0;11.5;0.5;84.2;0;0;0;0;3.8;0;g
4;0;2;2.2014;0.0042;0.653;1160.15;26.08;4;19918;5;115.61;1.84;0.38;2.136;-128;39;1.9;0;0;0;5;0;1.8;91.3;0;0;d
3;0;3;3.2474;0.0002;0.039;417.23;14.18;4;120038;2.33;363.6;2.7;0.32;0.965;-163;5;0;19;0.7;77.7;0;0;0;0;2.6;0;g
5;0;4;4.1018;0.0108;2.398;5445.74;15.21;0;14830;5.01;80.01;0.89;0.2;0.371;-105;-48;0;0;0;0;2.9;0.7;0;96.4;0;0;d
7;9;4;3.4698;0.0009;4.725;3740.68;13.97;4;15288;3.86;65.2;0.81;0.27;0.93;-34;98;2.1;0;0;0;3.9;1.1;0;92.9;0;0;d
4;1;1;1.057;0.001;1.244;1512.23;41.54;0;3500;5.32;5;0.08;0.26;1657.404;-67;120;0;0;0;0;0;0.02;0;0;0;0;r
6;6;2;1.864;0.0039;1.421;4732.11;15.08;2;3500;4.01;2;0.02;0.38;4609.075;-123;-2;0;0;0;0;0;0;0;0;0;0;r
5;3;2;2.0243;0.0026;2.258;1534.26;14.2;1;12649;5;76.07;0.76;0.25;1466.753;-64;104;0.9;0;0;0;2;0.9;0;96.2;0;0;d
3;0;5;6.1159;0.0345;2.285;35388.8;37;0;5198;4.99;32.65;0.14;0.19;0.49;-211;-171;0;0;0;0;1.3;0;0.07;98.63;0;0;d
7;9;2;1.6278;0.0007;0.001;300.57;19.32;3;43181;3.56;213.02;3.3;0.44;278.328;-114;201;0.3;6.2;0.1;90.2;0;0;0;0;3.2;0;g
5;3;7;6.9357;0.0281;2.765;15236.86;37.42;2;15424;5.05;105.67;1.17;0.3;1.187;-67;-17;0;1.1;0;34.3;45.8;0.7;9.7;8.4;0;0;i
1;3;3;4.167;0.0173;1.236;23965.3;19.98;0;3500;7.1;4;0.08;0.25;1.198;-201;21;0;0;0;0;0;0;0;0;0;0;r
3;0;1;1.1758;0.0013;2.5;438.09;6.85;3;15004;9.36;184.63;1.99;0.67;422.319;126;237;0.6;0;1.1;0;14.3;0.1;0;39.9;43.96;0.04;l
4;1;1;1.0442;0.0017;0.574;1483.74;2.78;1;3500;7.31;9;0.08;0.39;0.829;-72;143;0;0;0;0;0;0;0;0;0;0.01;r
5;2;5;4.6943;0.0012;0.038;2520.12;22.38;6;41553;3.54;203.84;4.15;0.37;0.471;-178;-65;0.3;16.9;0.3;82.5;0;0;0;0;0;0;g
5;2;6;5.8565;0.0061;1.014;3283.31;85.82;4;49785;1.91;122.26;2.39;0.33;1.901;-197;7;0.1;18.8;1.7;75.9;0;0;0;0;3.5;0;g
5;3;5;5.1711;0.0115;0.003;2523.66;39.66;8;50897;1.33;88.97;1.53;0.42;1.692;-190;-117;0;17.7;1.9;80.4;0;0;0;0;0;0;g
2;3;6;7.8824;0.011;1.263;85242.76;46.56;0;3500;6.22;3;0.08;0.56;1.096;-88;237;0;0;0;0;0;0.02;0;0;0;0.01;r
4;3;9;9.6712;0.0175;1.824;4255.74;36.64;8;106315;3.14;433.98;2.68;0.3;0.717;-197;-69;0;7.7;1.3;91;0;0;0;0;0;0;g
2;2;9;11.6112;0.0507;0.181;163995.22;41.53;0;4112;4.01;9;0.09;0.2;1.085;-225;150;0;0;0;0;0;0;0;0;0;0.01;r
5;6;7;6.8817;0.0077;0.017;13189.34;17.87;1;17171;2.95;59.34;1.72;0.34;0.178;-223;-80;0.1;9.7;0.8;89.4;0;0;0;0;0;0;g
3;0;6;7.1814;0.0055;1.67;6896.91;51.32;5;35702;3.89;192.45;3.41;0.34;0.619;-142;99;0.2;7.8;0.9;90.7;0;0;0;0;0.4;0;g
5;4;7;7.4693;0.0288;1.271;8790.59;28.7;5;31036;2.51;83.46;2.49;0.36;1.405;-159;7;0;16.5;0.1;81.4;0;0;0;0;2;0;g
2;2;9;11.1032;0.0654;4.145;28030.01;6.96;6;22353;7.49;231.82;4.48;0.3;1.236;-78;-66;0;1.9;0;32.1;52.1;2.9;2.9;8.1;0;0;i
3;0;7;8.1869;0.0884;0.158;99747.08;35.62;0;3500;2.73;11;0.08;0.1;2.136;-210;84;0;0;0;0;0;0;0;0;0;0;r
2;0;2;2.4912;0.0005;0.004;1440.99;77.9;0;20460;0.57;15.83;0.49;0.43;1263.748;-112;-15;0;9;0.4;90.6;0;0;0;0;0;0;g
7;8;1;0.8374;0.0016;1.252;816.67;40.54;0;4202;6.52;3;0;0.15;1.005;-83;94;0;0;0;0;0;0;0;0;0;0;r
4;0;5;5.5927;0.0095;2.838;8911.3;34.36;4;16826;4.02;92.71;1.47;0.5;1.999;-5;63;0.6;0;0;0;70.6;26;2.1;0.7;0;0;t
8;5;3;2.3556;0.0037;1.134;7545.77;34.7;0;3500;3.63;11;0.02;0.11;1.406;-87;146;0;0;0;0;0;0.01;0;0;0;0.01;r
6;3;10;8.7835;0.0953;0.524;115690.09;9.32;2;3500;2.92;1;0.07;0.69;1.612;-242;3;0;0;0;0;0;0;0;0;0;0.02;r
4;3;2;2.2094;0.006;4.36;1257.33;1.83;4;18356;8.8;214.62;1.97;0.62;0.96;-161;307;1.4;0;0.6;0;17.9;1.5;0;32.1;46.29;0.21;l
4;3;2;2.01;0.0006;1.898;75.86;56.16;5;259882;3.99;1407.26;2.97;0.43;83.446;-136;445;0;9.3;0.1;86.8;0;0;0;0;3.8;0;g
4;2;10;10.9723;0.0996;1.796;181392.03;2.12;0;3500;3.69;6;0.01;0.37;1.558;-174;184;0;0;0;0;0;0;0;0;0;0.01;r
4;3;2;2.2793;0.0054;0.468;1254.56;35.29;3;19536;8.67;225.05;4.81;0.73;0.65;-190;379;0.2;0;0.2;0;10.7;1.7;0;15.8;71.28;0.12;l
5;1;6;6.2232;0.0397;4.91;9470.1;34.57;5;20223;7.55;200.73;3.25;0.42;0.679;-130;-93;0;2.2;0;28.2;55.4;6.8;0.6;6.8;0;0;i
7;6;6;5.2524;0.036;1.299;38824.34;18.16;0;3500;4.49;3;0.06;0.33;1.933;-110;199;0;0;0;0;0;0;0;0;0;0;r
5;5;2;1.9471;0.0042;0.455;878.83;24.82;2;20570;8.69;235;1.72;0.78;878.83;145;302;4.8;0;2.1;0;15.1;0.8;0;27.3;49.56;0.34;l
5;2;1;0.9391;0.0008;3.55;835.17;28.74;1;5006;5.55;32.64;0.13;0.2;1.373;-98;-3;1.5;0;0;0;2.9;0;0.34;95.26;0;0;d
9;10;7;4.5722;0.0463;2.531;18903.54;48.84;0;5517;3.75;13;0.05;0.39;0.447;-142;95;0;0;0;0;0;0.02;0;0;0;0;r
5;3;10;10.4513;0.163;2.901;177058.79;9.34;1;3500;4.96;9;0.03;0.38;1.821;-210;166;0;0;0;0;0;0;0;0;0;0.02;r
8;1;7;5.2344;0.0653;2.518;23124.42;7.23;1;6019;5.13;34.12;0.17;0.17;1.969;-197;-172;0;0;0;0;3.3;0.5;0;96.2;0;0;d
7;7;9;7.2781;0.0013;1.979;2989.09;21.51;8;84737;3.61;428.26;2.9;0.43;0.613;-182;102;0;7;1.4;91.3;0;0;0;0;0.3;0;g
10;0;9;6.2291;0.0344;0.17;3978.23;8.84;3;47962;1.78;112.2;2.41;0.44;1.67;-166;-51;0.2;14.8;1.1;83.9;0;0;0;0;0;0;g
5;3;8;8.1243;0.0032;0.087;2250.37;21.33;5;138790;1.17;222.7;0.98;0.4;1.692;-193;-124;0.2;4.7;2;93.1;0;0;0;0;0;0;g
4;2;3;3.399;0.0084;1.269;15806.34;34.59;2;3500;4.78;4;0.1;0.21;0.574;-145;110;0;0;0;0;0;0.02;0;0;0;0;r
2;2;5;6.2282;0.0014;1.068;1835.9;57.96;1;100084;2.53;332.79;2.45;0.42;0.897;-152;38;0;13.4;1.2;83.1;0;0;0;0;2.3;0;g
