,longueur,v_longueur,largeur,v_largeur,r,v,b,v_rvb,sucre,v_sucre,eau,v_eau,fibres,v_fibre
abricot,7.0,0.5,5.0,0.6,235.57063166113238,127.81792398904334,50.272469526004045,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.649156725741635,0.5,5.053567876620968,0.6,227.11920756550518,132.6931805346947,45.59357049015682,10.0,-7.672659866828457,5.0,71.98336755816159,5.0,1.6771471430498595,0.5
abricot,7.989568247031923,0.5,5.109090055646205,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,230.83706628036342,138.6080820021748,57.55784030040438,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.162691585102696,0.5,4.679729230486174,0.6,221.04917711346283,137.4256264206216,57.807085190085196,10.0,3.8500893179527047,5.0,87.9181351577157,5.0,1.6751250277391554,0.5
abricot,6.2597887819827776,0.5,5.250172038595231,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,243.87037400153793,127.17130126660156,44.31666839016014,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.171972551039223,0.5,5.391902579418424,0.6,238.04513157921284,111.60395734645854,65.83596494260115,10.0,-0.2929735014407653,5.0,87.40112371919165,5.0,0.9763551381351068,0.5
abricot,6.656137291210704,0.5,5.267227542947638,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,235.98489431391678,139.62846246165054,49.982347488490404,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.088998445710779,0.5,4.854116327225393,0.6,228.32767757149549,133.20214443368863,54.38804080836348,10.0,4.259542124183779,5.0,86.68963019666545,5.0,1.9717521277657872,0.5
abricot,7.166191874986188,0.5,4.486639806457911,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,219.71632952814792,132.87094309267482,64.89791415112404,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.375992463009428,0.5,5.342217856816094,0.6,228.40483469247062,127.89670137815077,63.130752543508535,10.0,9.672437358067693,5.0,81.56310369667547,5.0,2.4567416203360515,0.5
abricot,6.933597322533609,0.5,5.303974938402123,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,234.67586059175343,145.8882577917404,49.81588772320478,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.2457886070575634,0.5,4.700599910907387,0.6,242.05202355633745,131.37757251093382,38.67384900165966,10.0,1.8729314509030965,5.0,88.90494612238147,5.0,2.3999942053961885,0.5
abricot,7.030072181209126,0.5,5.657823721901571,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,227.40723100825173,111.62732927353994,45.68394261406622,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.468341053401484,0.5,5.03562590001238,0.6,226.48401790595466,122.850859230333,59.901883071354966,10.0,8.51939786170313,5.0,83.15845107250631,5.0,1.8421205592827363,0.5
abricot,7.299013220886286,0.5,4.408290220301208,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,225.54002684049087,115.61302579327864,44.5498139683191,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.786435401264178,0.5,4.981091357331819,0.6,235.91798406315374,151.8682935847186,53.810371663962194,10.0,5.946321938576054,5.0,80.02233134809605,5.0,1.5706359498045277,0.5
abricot,6.915335955161635,0.5,5.4416448457681605,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,221.6078918166154,122.14719984349237,45.184914854617645,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.5519763646022025,0.5,5.204976706392732,0.6,225.1353241716321,124.78010124329197,45.34653796163404,10.0,2.8127037204996777,5.0,90.3840486232203,5.0,1.091239360791866,0.5
abricot,5.801540329570726,0.5,4.7903891728308405,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,225.59912173282578,142.95795152676365,45.84445766322579,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.604219731519777,0.5,4.8562161929255545,0.6,217.06738077817533,117.51289143322815,32.57418003392717,10.0,4.2017618374733665,5.0,84.96598591088305,5.0,2.4624366064368663,0.5
abricot,7.453620834793118,0.5,4.458209938876024,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,234.72790991471564,121.08221638855635,49.78162006918823,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.759994375902334,0.5,4.342443987452071,0.6,235.31749343965035,115.1098996410964,51.25666597820585,10.0,3.454872315167578,5.0,85.70636749700049,5.0,0.7780071701324696,0.5
abricot,6.658082005183465,0.5,4.79163646348585,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,235.1752490148812,125.28887149691636,48.708410765956216,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.672059566117939,0.5,4.060014203945481,0.6,235.22009528375608,134.21115100274548,44.12873138731266,10.0,6.707200649242204,5.0,87.91476038324637,5.0,0.9033540257002364,0.5
abricot,7.929976566572478,0.5,5.263265800530037,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,223.5864792117283,120.59723802625234,57.83862519118462,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,5.91068803716265,0.5,5.348127457929298,0.6,209.27976020096125,125.56865182803597,47.21635134523857,10.0,9.191185735484424,5.0,80.99606355802506,5.0,1.828648948424478,0.5
abricot,7.959713825800769,0.5,4.200391066122361,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,234.6598404546602,120.1685477177339,40.11359610089734,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.729650934356784,0.5,5.71480968497699,0.6,222.11571832474402,123.81477840390109,49.79333706074554,10.0,0.9977930295184747,5.0,92.76211943068124,5.0,1.7256100627414683,0.5
abricot,7.249929590908345,0.5,5.396581592744896,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,241.61645147953456,126.78870934619906,53.14531044320752,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.5730547799024635,0.5,5.041653901043052,0.6,229.19179229263813,119.53926030614213,55.97774844558839,10.0,2.763509994549352,5.0,96.12719964763583,5.0,1.9567704965120676,0.5
abricot,6.849542023846065,0.5,5.542567493397532,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,248.30841858003788,120.87318121331627,56.15653182357089,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.693950910021007,0.5,5.544628227068783,0.6,222.52908337811942,123.83689326474541,51.10308679184458,10.0,4.859736465965021,5.0,89.00194963267538,5.0,1.762726635358952,0.5
abricot,7.105498270183901,0.5,4.988722337174813,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,225.2784788113641,121.18778359609495,39.58971781145149,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.350389418771253,0.5,5.260470744361628,0.6,237.01258067954797,122.81497145447626,61.76261403923962,10.0,-0.2814740077802571,5.0,90.05143172823048,5.0,1.6806609030561306,0.5
abricot,6.907333058849513,0.5,3.912273424049358,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,236.47601814303118,118.94336963325388,49.83253442238474,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.661748036618409,0.5,5.875867957606252,0.6,224.9604571081561,110.8963573238864,37.80962076127072,10.0,7.340725770406078,5.0,93.1363722914945,5.0,1.2206699464116484,0.5
abricot,6.873049485516804,0.5,4.410467129109327,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,231.6996425015876,123.1720463437093,44.57681794088718,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.557680691655612,0.5,4.614299901664818,0.6,226.9488422753589,116.99307536205632,22.80905952588072,10.0,2.569842394285753,5.0,90.33799602750202,5.0,1.5536073813076874,0.5
abricot,7.496797076268001,0.5,5.419996742489499,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,239.3363961738576,127.08103070374354,45.773882096025616,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.999016837429617,0.5,5.414507243582558,0.6,224.83786344131286,114.75974131039861,52.007690233675746,10.0,-0.8010706477469149,5.0,93.53438162793978,5.0,2.308966877758928,0.5
abricot,6.9639931731332405,0.5,5.2719188004166195,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,221.17485529053758,142.19949564120478,56.56170395642068,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.192505424374242,0.5,4.500012777989134,0.6,229.67624918527713,143.4604117092127,55.21114088611985,10.0,-2.9037159944681585,5.0,91.49281853318905,5.0,1.0557416292179382,0.5
abricot,6.3165774740701774,0.5,4.940950444333071,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,240.16812981309616,134.57010645014063,54.36788437984343,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.6969189424721804,0.5,5.868113323904705,0.6,221.29526341205113,125.54224056940708,53.158082140354495,10.0,7.304777188541844,5.0,83.95513542666346,5.0,1.7178165018963854,0.5
abricot,7.657210861771896,0.5,5.192138754943106,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,221.62228989670265,122.86926277529919,42.88901899077453,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.578254001390873,0.5,4.91733619842594,0.6,228.51302808441022,122.27118428501646,48.43833078735666,10.0,-5.617540910724863,5.0,86.14741157404667,5.0,2.0896452606417193,0.5
abricot,7.196288548429947,0.5,5.342980701362954,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,216.78397663579105,109.01157246538153,70.84953782765822,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.798341596549142,0.5,5.1451841945810886,0.6,236.3925969098336,130.37217284243627,52.039167026857875,10.0,9.854937798100632,5.0,87.30184329370113,5.0,0.9653739064652916,0.5
abricot,6.884179982439885,0.5,4.507422933815723,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,233.7447478581957,141.87595122500437,71.74859149568614,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.490861295354159,0.5,5.566921633742853,0.6,227.3464997221377,129.05026769331428,38.65367873933381,10.0,-2.5697017571828615,5.0,86.52746856888463,5.0,1.5648093718561937,0.5
abricot,7.679573447012823,0.5,4.605878789655549,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
pomme,13.133008045694028,3.0,14.976585584602383,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,53.17257954211252,240.84398102469197,-6.246942331452722,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,9.212988785062244,3.0,5.213352888368886,3.0,32.196968995906104,176.92003144622166,95.2752430512148,40.0,50.04417151889112,1.5,85.87360828755725,3.0,1.568844422613879,1.0
pomme,8.26527710818852,3.0,9.883884785179887,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,97.69557691082962,257.51844415323296,39.32381966191311,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,7.002879017508277,3.0,11.48491207736696,3.0,84.24072652711867,259.3284300520997,24.729626031654284,40.0,49.764697993462775,1.5,83.3544584914102,3.0,0.9363418268464742,1.0
pomme,10.363515834610844,3.0,12.314336814805937,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,102.497395705766,249.01782222034856,-13.346715257394543,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,10.715583043366095,3.0,7.266863030863563,3.0,95.79078234169461,193.94312999425236,69.59737004800695,40.0,49.219317875057634,1.5,86.40358678065475,3.0,1.1286084401443668,1.0
pomme,10.248235651974342,3.0,13.607191217159365,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,36.146898400298134,202.3786060750501,58.46427099269807,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,9.599630103426854,3.0,10.268074927940294,3.0,42.16866516230035,218.70900506388645,93.33060630860489,40.0,47.22942793121477,1.5,84.42272773002126,3.0,0.8149459541567188,1.0
pomme,10.339556199373,3.0,6.589908985636612,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,28.702496158165406,114.900162959829,-40.33910460578329,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,7.4144170013344395,3.0,8.709120865030792,3.0,134.61556515220087,213.0987027111904,-16.24424529692972,40.0,48.95067283349412,1.5,81.28968715715926,3.0,1.4567638080899754,1.0
pomme,7.413622809423485,3.0,5.227104792829618,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,40.97120182331181,181.21070796672444,42.98157333262647,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,6.579015476473854,3.0,8.944972862332632,3.0,3.2625432495064715,267.6643015371993,-0.1495327317800914,40.0,47.411235771613946,1.5,80.10643366866495,3.0,-1.2206104654799037,1.0
pomme,8.965363739100878,3.0,11.42694800700859,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,71.87825332355419,259.5827214897663,-29.22160640674086,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,9.844249027322583,3.0,10.226183113188199,3.0,27.369463541834115,134.2772379617711,38.8905309898726,40.0,49.22006676392538,1.5,83.14099553090671,3.0,1.5981678167155844,1.0
pomme,5.322369517771217,3.0,10.879551158068695,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,36.84029070550734,184.42624166839215,77.01515072636985,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,5.6768531628602625,3.0,6.523853916131451,3.0,38.51517894203802,223.8531316575556,48.6808924042497,40.0,49.700159816505916,1.5,82.812430102282,3.0,1.2217927204411407,1.0
pomme,5.373803034177346,3.0,3.57260472384349,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,42.72427889797443,193.53408249721267,84.22112412693075,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,6.898587838613501,3.0,8.4288923338391,3.0,35.225464357367535,234.19658017103055,31.332350784571315,40.0,52.67315311197719,1.5,86.17209220491908,3.0,2.827382639068831,1.0
pomme,3.3563766368862042,3.0,6.901402401655981,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,105.6296212232022,197.2581287932986,55.066316476613224,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,6.589321672145714,3.0,9.024497580079982,3.0,42.93286383656701,175.23297045976412,62.99865610393169,40.0,50.73918410418007,1.5,85.44441460311123,3.0,0.7381383853329052,1.0
pomme,7.091810462962256,3.0,4.240876143147839,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,24.79390958052624,223.03026670040504,6.417984188377133,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,4.348704906527171,3.0,9.201501496364097,3.0,23.48071227576132,181.02016962001872,84.15671216368405,40.0,47.895421466845875,1.5,84.06383007992588,3.0,0.7497172268212838,1.0
pomme,9.947009854877459,3.0,5.917230459707682,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,78.25089363241284,186.27313942212086,56.403053546401644,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,13.636083608569926,3.0,6.3516122349597115,3.0,12.068551572099203,178.18508418073958,43.00745378124874,40.0,47.29775803068842,1.5,83.70780478538661,3.0,2.2912242778249374,1.0
pomme,10.944827763497623,3.0,7.355261153499589,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,33.78064735836375,141.06431681752738,-18.123160652731748,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,10.218222269733056,3.0,6.122699915740622,3.0,80.91227906888187,224.7310178377663,85.80762849041707,40.0,48.62569784646318,1.5,82.89698039556049,3.0,0.997311709277186,1.0
pomme,9.187611744628823,3.0,6.346415810859078,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,0.9613907687155177,134.03231082583397,10.28177257306342,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,5.07842486039339,3.0,8.047792589730241,3.0,68.81093328124493,142.37194389913228,9.594170571156283,40.0,49.526086484378,1.5,85.31809649768657,3.0,2.018031074033795,1.0
pomme,6.392314808189166,3.0,14.302386925032586,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,57.3476223135431,228.79038737501526,-24.3452913703225,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,4.781158922306116,3.0,8.688903864942093,3.0,81.68438578180397,147.1330315532404,8.924573896547514,40.0,50.067943413720805,1.5,83.38764154235885,3.0,1.2763812609295315,1.0
pomme,6.622076775578816,3.0,6.160954162276781,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,54.35355816313209,203.2244060839857,28.230083531405278,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,10.397800201866875,3.0,9.902288445915067,3.0,73.0700888523871,127.27500422777695,44.44247275926382,40.0,49.53914581226334,1.5,85.85150083227569,3.0,1.3774874932655816,1.0
pomme,4.656180260706719,3.0,6.210419752125277,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,16.207901246272797,199.5546863440337,4.7792019871383715,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.333720689698886,3.0,4.398128946120265,3.0,32.939104466274934,220.16360660581995,-2.224740888626748,40.0,49.98654837793263,1.5,86.44922173810602,3.0,1.5874146464278986,1.0
pomme,11.026287255379883,3.0,8.731270175062699,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,146.9749713272381,218.54822864719506,-36.82533392049872,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,10.489596182072026,3.0,7.640862978563709,3.0,50.561626157417386,172.83639190059134,18.921507185283183,40.0,51.2984682626069,1.5,82.01691143148278,3.0,1.6438956329734773,1.0
pomme,11.33564917509791,3.0,9.184553048048153,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,57.75740244723801,221.8058810429381,28.06330217780312,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,10.901931012720492,3.0,2.6793563221015306,3.0,74.49686780785633,213.76374538757852,-16.566553928888922,40.0,49.948913320191856,1.5,82.12225123264257,3.0,0.4680751698136135,1.0
pomme,9.659276146788478,3.0,4.03606251366927,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,24.624602157706345,184.25578469365155,43.8483921038721,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,5.02088095845515,3.0,10.101518036081915,3.0,76.40260340144398,177.53942883831527,67.75194482379058,40.0,48.341084074820195,1.5,88.48205555557819,3.0,2.2066927307738875,1.0
pomme,7.113911368818464,3.0,9.258693074224304,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,8.953428503659076,218.747386373423,35.64300814021007,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,5.429944893201414,3.0,7.389261957716137,3.0,75.08608359113684,231.74222403550448,35.8720671184794,40.0,50.039323436492296,1.5,82.8414288565738,3.0,0.851208939188224,1.0
pomme,3.7465699993126824,3.0,11.361459404551765,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,-3.991750887469429,186.19022763608226,44.74934529153305,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,6.785398851309242,3.0,5.7733339920012146,3.0,42.66524092562753,186.29170893228005,79.50566464131688,40.0,49.362470898078804,1.5,83.9896450118373,3.0,2.3653349683318368,1.0
pomme,13.892291088783685,3.0,9.845061236201403,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.0,3.0,8.0,3.0,37.35305411075994,244.53705137129427,-8.690465458637647,40.0,50.0,1.5,85.0,3.0,1.4,1.0
pomme,8.426532357553937,3.0,11.206475109292038,3.0,23.552835567783397,260.47650201596946,63.265890323149804,40.0,52.17589838290111,1.5,84.71612001428727,3.0,0.8004924721982956,1.0
pomme,9.056627560402749,3.0,8.106823623601244,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
